#,etablissement,ville,commune,capacite_d_accueil,montant_des_frais_d_inscription,liste_des_filieres,sigle,commune,location,phone,email,website,subs_fee,scho_amount,sectors
43,Institut Universitaire Saint Jean-Paul II (IUSJP2),YAMOUSSOUKRO,YAMOUSSOUKRO,0,,1001,,YAMOUSSOUKRO,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", ""LICENCE D'ESPAGNOL,Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE PHILOSOPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '']"
44,POLE D'EXCELLENCE ET DE SPECIALISATIONS (PES),ABIDJAN,COCODY,0,215 000 F,1057,UPES,COCODY,Riviera Golfe les versants,"['225 07 12 74 87 99\u202c ', ' \u202a+225 07 09 09 72 86\u202c']",[email protected],,215 000 F,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'Licence en Sciences Politiques,Licence', '']"
45,POLYTECH ABIDJAN,ABIDJAN,COCODY,0,55000,226,ESPI  abidjan,COCODY,"VALLON RUE DES JARDINS, carrefour DAUPHIN",['22409150'],[email protected],//www.espicotedivoire.com,55000,400.000 non affecté,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : GBAT / GENIE CIVIL OPTION BATIMENT,BTS', 'BTS : GTP / GENIE CIVIL OPTION TRAVAUX PUBLICS,BTS', 'BTS : LOG / LOGISTIQUE,BTS', 'BTS : TH / TOURISME HOTELLERIE,BTS', 'LICENCE DES PROFESSIONS IMMOBILIERES,Licence', '']"
46,RUSTA UNIVERSITE -(RUSTA UNIVERSITE),ABIDJAN,COCODY,0,450 000 Licence classique / 700 000 Licence Pro,1004,RUSTA-UNIVERSITES,COCODY,"92C6+4Q6, Abidjan)",['0584955768 – 0749400218 – 0584955768 – 0584955639 – 0749494144'],[email protected],www.rusta-universites.com,450 000 Licence  classique / 700 000 Licence Pro,OF pour les affectés et réaffectés de l’Etat,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ANTHROPOLOGIE (PRIVE),Licence', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE MATHEMATIQUES,Licence', 'LICENCE DE PHILOSOPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', 'LICENCE FINANCE BANQUE ASSURANCE (FBA),Licence', '""LICENCE LETTRES, ARTS ET SCIENCES HUMAINES"",Licence', 'LICENCE MARKETING,Licence', 'LICENCE PSYCHOLOGIE (PRIVE),Licence', 'Licence en Sciences Politiques,Licence', '']"
47,RUSTA UNIVERSITE ANNEXE DE BOUAKE,BOUAKE,BOUAKE,0,85000,999,RUSTA-UNIVERSITES BOUAKE,BOUAKE,En face Ecole Bambi à Kennedy,['0749400231 – 0769313169 – 0575994199 – 0749400218 – 0797666691 – 0544364500 - 0788111163'],[email protected],//www.rusta-universites.org,85000,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE MATHEMATIQUES,Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', 'LICENCE Géologie mine pétrole et environnement,Licence', 'LICENCE MANAGEMENT TOURISTIQUE ET HOTELIER,Licence', 'LICENCE MARKETING,Licence', 'LICENCE SOCIOLOGIE,Licence', '']"
48,SEEKA UNIVERSITY -(Seeka U),YAMOUSSOUKRO,YAMOUSSOUKRO,0,100 000 F,2049,Seeka U,YAMOUSSOUKRO,Yamoussoukro quartier Millionnaire,['2730611370 - 0707870951'],[email protected],//seeka.edu.ci,100 000 F,1 500 000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE ENTREPRENEURIAT,Licence', '']"
49,SWISS UMEF UNIVERSITY OF COTE D'IVOIRE -(UMEF),ABIDJAN,COCODY,0,115 000 F,1015,UMEF,COCODY,RIVIERA 3 RUE USHER ASSOUAN FACE PHARMACIE SAINTE AGATNE,['07 01 102 126'],[email protected],www.swissumef.ci,115 000 F,450 000 / 900 000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES AFFAIRES,Licence', 'LICENCE DE DROIT,Licence', '']"
50,TALENT SCHOOL OF BUSINESS (TSB),ABIDJAN,COCODY,0,,853,,COCODY,,['27 22 01 50 19'],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES AFFAIRES,Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE MARKETING,Licence', 'LICENCE SCIENCES AGRONOMIQUES,Licence', '']"
51,TG MASTER-UNIVERSITY -(TGM-U),ABIDJAN,COCODY,0,,1024,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
52,UNIVERSITE ADAMA SANOGO -(UAS),ABIDJAN,ABOBO,0,0,522,UAS,ABOBO,PLATEAU DOKUI,"['07 47 00 00 49 ', ' 07 07 88 78 04 ', ' 07 08 20 78 20']",[email protected]/[email protected],//www.groupeadamasanogo.com,0,250 000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE MATHEMATIQUES,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', '']"
53,UNIVERSITE BILINGUE LA CORNICHE -(UBC),ABIDJAN,COCODY,0,,1034,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
54,UNIVERSITE CATHOLIQUE D'AFRIQUE DE L'OUEST-UNITE UNIVERSITAIRE D'ABIDAJN -(UCAO-UUA),ABIDJAN,COCODY,0,230.000 FCFA,526,UCAO-UUA,COCODY,"Abidjan Cocody Ambassade, Rue Sainte Marie.","['2722400650 ', ' 0544012509']",[email protected],//www.ucaouua.com,230.000 FCFA,200.000 FCFA,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE PHILOSOPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '']"
55,UNIVERSITE CENTRALE CHAARE TSEDEK -(UCC),DALOA,DALOA,0,100 000 F CFA,2053,UCC DALOA,DALOA,"Quartier Tazibo-Evêché, derrière la banque SGCI, au carrefour Lylidé, près de l'Hôtel Emergence","['27 34 77 55 52  ', '', ' 27 32 76 04 62']",[email protected],//www.ucentrale.com,100 000 F CFA,125 000 F CFA,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '']"
56,UNIVERSITE CHARLES-LOUIS DE MONTESQUIEU COCODY_UNIVERSITE -(UCLM COCODY_UNIVERSITE),ABIDJAN,COCODY,0,350.000 F,528,,COCODY,,"['07 07 87 25 41', ' 07 07 33 27 64']",[email protected],,350.000 F,500.000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES ENTREPRISES OPTION MARKETING ET COMMUNICATION,Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
57,UNIVERSITE DE ENTREPRENEURIAT (UE-AZAGUIE),AZAGUIE,AZAGUIE,0,,824,,AZAGUIE,,"['22 49 08 99', ' 07 72 09 40']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
58,UNIVERSITE DE L'ALLIANCE CHRETIENNE D'ABIDJAN (UACA),ABIDJAN,COCODY,0,,852,UACA,COCODY,M’POUTO CIAD PRES DE LA PHARMACIE LES JARDINS D’EDEN,"['27 22 40 93 00 ', ' 05 06 75 41 81']",[email protected],www.uaca-fateac.org,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ANTHROPOLOGIE (PRIVE),Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", ""LICENCE SCIENCES DE L'HOMME ET DE LA SOCIETE,Licence"", '']"
59,UNIVERSITE DE L'ATLANTIQUE -(UA COCODY),ABIDJAN,COCODY,0,125 000 F,524,UA,COCODY,Cocody - Deux Plateaux Saint Jacques ENA -Rue J17,"['01 40 06 92 92', '01 40 06 93 93']",[email protected],www.uatlantique.org,125 000 F,250 000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,Licence', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,Licence"", 'BTS : LOG / LOGISTIQUE,Licence', 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,Licence', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
60,UNIVERSITE DE L'ATLANTIQUE BOUAKÉ -(UA BOUAKÉ),BOUAKE,BOUAKE,0,55 000 F,682,UA BOUAKE,BOUAKE,Bouaké (Quartier Kennedy),"['0748282150 ', ' 01 40 06 92 92']",[email protected],www.uatlantique.org,55 000 F,200 000 F,"['FILIERE(S) DE FORMATION,CYCLE', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
61,UNIVERSITE DE TECHNOLOGIE D'ABIDJAN -(UTA),ABIDJAN,COCODY,0,,684,UTA,COCODY,RIVIERA PALMERAIE / ROND POINT DE SAINT VIATEUR,"['0706666663 ', ' 0768858585 ', ' 0704444449 ', ' 0702393939']",[email protected],www.uta.ci,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE FINANCE BANQUE ASSURANCE (FBA),Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', '']"
62,UNIVERSITE DES INNOVATIONS CULTURELLES ET DES METIERS DU VIRTUEL -(UIC-MEV),ABIDJAN,COCODY,0,,816,,COCODY,COCODY RIVIERA PALMERAIE DERRIER LA PHARMACIE MARTHE ROBIN,"['07 58 72 48 27 ', ' 01 02 83 38 73']",[email protected],www.uic-mev.ci / www.uic-mev.com,,375 000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : AD / ASSISTANAT DE DIRECTION,BTS', 'BTS : ATPA / AGRICULTURE TROPICALE OPTION PRODUCTION ANIMALE,BTS', 'BTS : ATPV / AGRICULTURE TROPICALE OPTION PRODUCTION VEGETALE,BTS', 'BTS : ELT / ELECTROTECHNIQUE,BTS', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,BTS', 'BTS : GBAT / GENIE CIVIL OPTION BATIMENT,BTS', 'BTS : GEC / GESTION COMMERCIALE,BTS', 'BTS : GTP / GENIE CIVIL OPTION TRAVAUX PUBLICS,BTS', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,BTS"", 'BTS : LOG / LOGISTIQUE,BTS', 'BTS : MGP / MINES GEOLOGIE ET PETROLE,BTS', 'BTS : MSP / MAINTENANCE DES SYSTEMES DE PRODUCTION,BTS', 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,BTS', 'BTS : RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,BTS', 'BTS : SEI / SYSTEMES ELECTRONIQUES ET INFORMATIQUES,BTS', 'BTS : TH / TOURISME HOTELLERIE,BTS', 'LICENCE ADMINISTRATION DES AFFAIRES,Licence', 'LICENCE ADMINISTRATION ET GESTION DES ENTREPRISES,Licence', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', 'LICENCE COMMUNICATION DIGITALE,Licence', 'LICENCE CONCEPTION DIGITALE ET CREATION NUMERIQUE,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE DEVELOPPEMENT DURABLE,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE FINANCE BANQUE ASSURANCE (FBA),Licence', 'LICENCE Génie civil,Licence', 'LICENCE Géologie mine pétrole et environnement,Licence', '""LICENCE Information, communication et ressources humaines"",Licence', 'LICENCE LITTERATURES ET CIVILISATIONS,Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE MANAGEMENT TOURISTIQUE ET HOTELIER,Licence', 'LICENCE MARKETING MANAGEMENT,Licence', 'LICENCE MEDIA ET CYBER-SECURITE,Licence', 'LICENCE MEDIATION CULTURELLE,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', 'LICENCE QUALITE SECURITE ENVIRONNEMENT,Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', ""LICENCE SCIENCES DE L'HOMME ET DE LA SOCIETE,Licence"", 'LICENCE STRM,Licence', 'LICENCE TRANSPORT ET LOGISTIQUE,Licence', '']"
63,UNIVERSITE DES JEUNES FILLES -(UJF),BASSAM,BASSAM,0,,829,,BASSAM,,"['07 08 50 28 28  ', ' 01 02 02 43 43 ', ' 04 48 28 21 50']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE LETTRES MODERNES (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
64,UNIVERSITE DES SCIENCES APPLIQUEES ET DE GESTION -(USAG),ABIDJAN,COCODY,0,,895,,COCODY,Cité les résidences soleil 1 non loin de la pharmacie de 8eme tranche,"['07 15 24 74', ' 09 82 81 75 ', ' 51 28 17 51']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,BTS', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,BTS"", 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,BTS', 'BTS : RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,BTS', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
65,UNIVERSITE DES SCIENCES ET TECHNOLOGIE DE COTE D'IVOIRE COCODY -(USTCI COCODY),ABIDJAN,COCODY,0,450 000,167,USTCI,COCODY,"92M6+57V, Angré Abidjan)",['0705555550 – 0705222222 – 0749400218 – 0575994199 – 0544361115 - 0584955639'],[email protected],www.ustci-cocody.com,450 000,Néant pour les affectés et réaffectés de l'Etat,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE MATHEMATIQUES,Licence', 'LICENCE DE PHILOSOPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE EN AMENAGEMENT PARCOURS GESTION FONCIÈRE,Licence', 'LICENCE EN AMENAGEMENT PARCOURS GÉOMATIQUE,Licence', 'LICENCE EN CHIMIE,Licence', 'LICENCE EN ELECTROTECHNIQUE,Licence', 'LICENCE EN GENIE ELECTRIQUE PARCOURS AUTOMATISMES ET SYSTEMES,Licence', 'LICENCE EN GENIE ELECTRIQUE PARCOURS CIRCUITS INTEGRES,Licence', 'LICENCE EN GESTION DES COLLECTIVITES LOCALES,Licence', 'LICENCE EN GESTION DES RESSOURCES HUMAINES,Licence', 'LICENCE EN GÉNIE INDUSTRIEL ET MAINTENANCE,Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', 'LICENCE EN LOGISTIQUE,Licence', 'LICENCE EN MANAGEMENT DES SECTEURS DE LA SANTE,Licence', 'LICENCE EN MANAGEMENT DES SECTEURS MINIERS,Licence', 'LICENCE EN MINES GEOLOGIE ET PETROLE,Licence', 'LICENCE EN PHYSIQUE,Licence', 'LICENCE EN SCIENCES DE L’EDUCATION,Licence', 'LICENCE GESTION COMMERCIALE,Licence', 'LICENCE Génie civil,Licence', 'LICENCE Industries agro-alimentaires,Licence', 'LICENCE MARKETING,Licence', 'LICENCE PSYCHOLOGIE (PRIVE),Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE SOCIOLOGIE,Licence', '']"
66,UNIVERSITE DES SCIENCES ET TECHNOLOGIE DE COTE D'IVOIRE YOPOUGON -(USTCI YOPOUGON),ABIDJAN,YOPOUGON,0,450 000 F,758,USTCI,YOPOUGON,"8W9P+RW, Abidjan)",['0544362499 – 0584955548 – 0749400218 -0575994199 – 2522009158 - 0585009821'],[email protected],www.ustci-yopougon.com,450 000 F,OF pour les affectés et réaffectés de l’Etat,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : AD / ASSISTANAT DE DIRECTION,BTS', 'BTS : CV / COMMUNICATION VISUELLE,BTS', 'BTS : ELT / ELECTROTECHNIQUE,BTS', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,BTS', 'BTS : GBAT / GENIE CIVIL OPTION BATIMENT,BTS', 'BTS : GEC / GESTION COMMERCIALE,BTS', 'BTS : GEE / GENIE ENERGETIQUE ET ENVIRONNEMENT,BTS', ""BTS : GERN / GESTION DE L'ENVIRONNEMENT ET DES RESSOURCES NATURELLES,BTS"", 'BTS : GTP / GENIE CIVIL OPTION TRAVAUX PUBLICS,BTS', 'BTS : IACC / INDUSTRIES AGRO-ALIMENTAIRES ET CHIMIQUES OPTION CONTROLE,BTS', 'BTS : IACP / INDUSTRIES AGRO-ALIMENTAIRES ET CHIMIQUES OPTION PRODUCTION,BTS', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,BTS"", 'BTS : LOG / LOGISTIQUE,BTS', 'BTS : MGP / MINES GEOLOGIE ET PETROLE,BTS', 'BTS : MSP / MAINTENANCE DES SYSTEMES DE PRODUCTION,BTS', 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,BTS', 'BTS : RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,BTS', 'BTS : SEI / SYSTEMES ELECTRONIQUES ET INFORMATIQUES,BTS', 'BTS : TH / TOURISME HOTELLERIE,BTS', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '""LICENCE LETTRES, ARTS ET SCIENCES HUMAINES"",Licence', '']"
67,UNIVERSITE DES SCIENCES ET TECHNOLOGIES D'ABIDJAN (USTA),ABIDJAN,MARCORY,0,,855,,MARCORY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
68,"UNIVERSITE DES SCIENCES JURIDIQUES, ECONOMIQUES ET DE GESTION (UJSEG)",ABIDJAN,COCODY,0,100 000 F CFA,873,UJSEG,COCODY,COCODY DERRIERE LA RTI,"['27 22 40 40 07 ', ' 07 48 33 88 10 ', ' 07 47 01 16 98']",[email protected],,100 000 F CFA,400 000 F CFA,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '']"
69,UNIVERSITE DU MAGHREB DE CÔTE D'IVOIRE (UPMACI),ABIDJAN,COCODY,0,,2103,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE Génie civil,Licence', '']"
70,UNIVERSITE EPHRATA -(UE),ABIDJAN,RIVIERA,0,125 000 FCFA,949,,RIVIERA,RIVIERA PALMERAIE GENIE 200,"['22 47 25 22', ' 47 29 65 02', ' 03 59 58 79']",,www.universiteephrata.ci,125 000 FCFA,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE MATHEMATIQUES-INFORMATIQUE (PRIVE),Licence', 'LICENCE DE PHILOSOPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
71,UNIVERSITE EVANGELIQUE INTERNATIONALE DE MAN -(UEIM),MAN,MAN,0,75 000 F,831,UEIM,MAN,IBTM ZLANWOPLEU SUR L AXE GRAND GBAPLEU-KPANGUOIN 1,['07 09 06 69 92 et 27 35 97\xa048\xa031'],[email protected],www.ueim-z.com,75 000 F,300 000F CFA,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', ""LICENCE DE SCIENCES DE L'INFORMATION ET DE LA COMMUNICATION (SIC),Licence"", 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
72,UNIVERSITE FRANÇAISE D'ABIDJAN -(UFRA),ABIDJAN,PLATEAU,0,Voir Service Admission au 01 00 00 50 05,662,UFRA,PLATEAU,"Rue Du Commerce, Rez-de-chaussée Immeuble Le MALI","['27 20 33 85 00', ' 01 00 00 50 05']",[email protected],www.ufra-esg.org,Voir Service Admission au 01 00 00 50 05,Voir Service Admission au 01 00 00 50 05,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
73,UNIVERSITE HENRY DUNANT -(UHD),ABIDJAN,COCODY,0,,1013,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
74,UNIVERSITE HUBERT VANGAH -(UVHK),BONOUA,BONOUA,0,165 000 F CFA,872,UVHK,BONOUA,"QUARTIER BLANON, DERRIERE LA CIE","['49 61 34 04', ' 01 34 72 46']",[email protected],,165 000 F CFA,200 000 F CFA,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : ATPA / AGRICULTURE TROPICALE OPTION PRODUCTION ANIMALE,BTS', 'BTS : ATPV / AGRICULTURE TROPICALE OPTION PRODUCTION VEGETALE,BTS', 'BTS : GBAT / GENIE CIVIL OPTION BATIMENT,BTS', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE MANAGEMENT TOURISTIQUE ET HOTELIER,Licence', '']"
75,UNIVERSITE INTERNATIONALE CONCORDET -(UIC),ABIDJAN,ABOBO,0,,1027,,ABOBO,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
76,UNIVERSITE INTERNATIONALE ABIDJAN -(UIA),ABIDJAN,COCODY,0,,870,U.I.A,COCODY,2 PLATEAUX VALLON EN FACE DU SIEGE DU BURIDA,"['27 22 24 59 03 ', ' 07 59 87 93 47 ', ' 01 73 78 0943 ', ' 07 48 36 81 01']",[email protected],www.groupeheci.ac.ma,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
77,UNIVERSITE INTERNATIONALE BILINGUE AFRICAINE -(UIBA),ABIDJAN,COCODY,0,,667,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
78,UNIVERSITE INTERNATIONALE CLAIRE FONTAINE -(UICF),ABIDJAN,YOPOUGON,0,,902,,YOPOUGON,,"['01 02 301 375 ', ' 01 02\xa0817\xa0920']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES AFFAIRES,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '']"
